m_bins,theta_bins,v0_bins,vf_bins,KE_bins
a,a,b,b,b
a,b,b,b,b
a,b,b,a,a
b,b,b,b,b
a,b,a,b,b
b,b,a,a,a
a,a,b,a,a
a,b,b,a,a
b,a,b,b,b
b,b,a,a,a
b,b,a,a,a
a,b,b,a,a
b,b,a,a,b
a,a,a,b,b
a,a,b,b,b
a,b,a,a,a
a,b,a,b,b
a,a,b,a,a
a,b,a,b,b
a,b,b,b,b
a,b,b,b,b
a,b,a,b,b
b,a,a,a,a
a,b,b,b,b
a,b,b,b,b
a,b,b,a,a
a,a,a,a,a
b,a,a,b,b
a,a,a,a,a
a,b,a,a,a
a,a,b,b,b
a,a,a,b,b
b,a,a,b,b
b,b,a,a,a
a,a,a,a,a
b,a,b,a,a
a,b,b,a,a
b,a,b,a,a
b,a,a,a,a
b,a,a,a,a
b,a,b,a,b
b,a,a,b,b
a,b,a,a,a
a,b,a,a,a
b,a,a,a,b
a,a,a,a,a
b,b,a,a,a
b,b,a,b,b
a,a,b,b,a
a,b,a,a,a
a,a,a,b,b
b,a,b,a,a
b,b,a,a,a
b,b,a,a,b
a,a,a,b,b
b,b,b,b,b
a,b,a,a,a
b,a,b,b,b
b,b,b,b,b
a,a,b,b,b
b,b,a,b,b
b,b,b,b,b
b,a,a,b,b
a,a,b,a,a
a,b,b,a,a
a,b,b,a,a
a,b,b,a,a
b,a,b,a,b
a,a,a,b,a
b,b,a,a,a
a,b,b,b,b
a,a,a,b,b
a,a,b,a,a
a,b,b,a,a
b,b,a,b,b
b,a,a,b,b
b,b,b,b,b
a,a,b,b,b
b,b,a,a,a
a,a,b,a,a
a,a,b,a,a
b,a,a,b,b
b,b,b,b,b
a,a,a,a,a
b,b,a,b,b
a,b,b,a,a
a,a,a,b,b
b,b,b,a,b
a,b,a,b,b
a,b,a,a,a
b,a,a,b,b
b,b,b,b,b
b,b,b,b,b
a,b,b,a,a
b,b,a,a,b
b,a,b,b,b
b,b,b,a,a
a,a,a,a,a
b,a,a,a,a
a,a,a,b,b
b,b,a,a,a
b,a,b,a,a
a,a,a,a,a
b,a,b,b,b
a,a,b,b,b
a,b,b,a,a
b,b,a,b,b
a,a,b,b,b
b,b,a,a,a
b,a,a,a,a
a,b,b,a,a
a,a,a,b,a
b,b,b,a,a
b,a,a,b,b
a,b,b,b,b
b,a,b,a,a
b,b,b,b,b
a,b,b,a,a
b,a,a,b,b
a,a,b,a,a
a,b,a,b,b
a,a,b,a,a
b,b,a,a,a
b,b,a,a,a
b,a,b,a,b
a,b,b,b,b
b,a,b,a,a
b,b,a,a,a
b,a,a,b,b
b,a,a,a,a
a,b,a,a,a
b,a,a,a,a
a,b,b,b,b
b,a,b,b,b
a,a,b,a,a
b,b,a,a,b
b,b,a,b,b
b,b,b,a,a
b,a,b,b,b
b,b,b,a,a
b,b,a,b,b
a,a,a,a,a
b,a,a,a,a
b,b,a,a,a
b,b,a,b,b
b,a,a,b,b
b,a,a,b,b
b,a,b,b,b
b,a,b,a,b
b,b,b,b,b
a,b,a,b,b
a,a,a,b,b
b,b,b,b,b
b,b,a,b,b
a,a,b,b,b
a,a,a,b,b
a,a,b,b,b
b,b,b,a,a
a,a,a,b,a
a,b,b,a,a
b,a,b,a,a
b,a,a,a,a
b,b,a,b,b
b,b,a,a,a
b,b,b,a,b
b,a,a,a,a
b,b,a,b,b
b,b,b,b,b
a,a,a,a,a
a,a,b,a,a
b,a,b,a,a
a,a,a,a,a
a,a,a,a,a
a,a,b,b,b
a,a,b,b,b
a,b,a,b,b
a,a,a,a,a
a,a,b,b,b
b,b,b,b,b
a,b,b,b,b
b,b,b,a,b
b,b,a,b,b
b,b,b,a,a
a,a,a,b,b
b,a,b,a,a
a,a,b,b,b
a,b,b,b,b
b,b,b,b,b
b,b,a,a,b
a,a,a,a,a
b,b,a,a,a
a,b,a,b,b
b,b,b,b,b
a,b,b,a,a
b,b,b,b,b
a,b,a,a,a
b,a,a,b,b
a,a,a,b,a
a,a,b,b,a
a,a,a,a,a
a,b,b,b,b
a,a,a,a,a
b,a,b,a,a
a,b,a,a,a
a,b,b,b,b
b,b,b,b,b
a,a,a,a,a
b,a,b,a,a
a,b,b,b,b
b,b,b,a,a
b,b,a,b,b
a,b,a,a,a
a,a,b,a,a
a,b,b,a,a
a,b,a,a,a
a,a,b,b,b
b,a,a,b,b
b,b,b,a,a
a,b,a,a,a
b,b,a,a,a
a,a,a,b,b
b,a,b,b,b
b,a,a,b,b
a,a,b,b,b
b,b,a,b,b
b,b,b,a,a
b,a,b,a,a
b,a,a,a,b
b,b,b,b,b
a,a,a,b,b
a,b,b,b,b
a,a,a,a,a
b,a,a,a,a
b,b,b,b,b
a,b,a,b,a
a,a,a,b,b
